step:660/1555 train_time:25909ms step_avg:39.26ms
step:661/1555 train_time:25968ms step_avg:39.29ms
step:662/1555 train_time:26027ms step_avg:39.32ms
step:663/1555 train_time:26086ms step_avg:39.34ms
step:664/1555 train_time:26147ms step_avg:39.38ms
step:665/1555 train_time:26208ms step_avg:39.41ms
step:666/1555 train_time:26264ms step_avg:39.44ms
step:667/1555 train_time:26324ms step_avg:39.47ms
step:668/1555 train_time:26383ms step_avg:39.50ms
step:669/1555 train_time:26443ms step_avg:39.53ms
step:670/1555 train_time:26501ms step_avg:39.55ms
step:671/1555 train_time:26561ms step_avg:39.58ms
step:672/1555 train_time:26620ms step_avg:39.61ms
step:673/1555 train_time:26678ms step_avg:39.64ms
step:674/1555 train_time:26735ms step_avg:39.67ms
step:675/1555 train_time:26798ms step_avg:39.70ms
step:676/1555 train_time:26857ms step_avg:39.73ms
step:677/1555 train_time:26915ms step_avg:39.76ms
step:678/1555 train_time:26975ms step_avg:39.79ms
step:679/1555 train_time:27036ms step_avg:39.82ms
step:680/1555 train_time:27091ms step_avg:39.84ms
step:681/1555 train_time:27151ms step_avg:39.87ms
step:682/1555 train_time:27213ms step_avg:39.90ms
step:683/1555 train_time:27269ms step_avg:39.93ms
step:684/1555 train_time:27329ms step_avg:39.95ms
step:685/1555 train_time:27386ms step_avg:39.98ms
step:686/1555 train_time:27446ms step_avg:40.01ms
step:687/1555 train_time:27506ms step_avg:40.04ms
step:688/1555 train_time:27562ms step_avg:40.06ms
step:689/1555 train_time:27625ms step_avg:40.09ms
step:690/1555 train_time:27683ms step_avg:40.12ms
step:691/1555 train_time:27739ms step_avg:40.14ms
step:692/1555 train_time:27800ms step_avg:40.17ms
step:693/1555 train_time:27858ms step_avg:40.20ms
step:694/1555 train_time:27920ms step_avg:40.23ms
step:695/1555 train_time:27976ms step_avg:40.25ms
step:696/1555 train_time:28038ms step_avg:40.28ms
step:697/1555 train_time:28098ms step_avg:40.31ms
step:698/1555 train_time:28156ms step_avg:40.34ms
step:699/1555 train_time:28215ms step_avg:40.37ms
step:700/1555 train_time:28271ms step_avg:40.39ms
step:701/1555 train_time:28332ms step_avg:40.42ms
step:702/1555 train_time:28389ms step_avg:40.44ms
step:703/1555 train_time:28452ms step_avg:40.47ms
step:704/1555 train_time:28507ms step_avg:40.49ms
step:705/1555 train_time:28569ms step_avg:40.52ms
step:706/1555 train_time:28631ms step_avg:40.55ms
step:707/1555 train_time:28686ms step_avg:40.57ms
step:708/1555 train_time:28742ms step_avg:40.60ms
step:709/1555 train_time:28806ms step_avg:40.63ms
step:710/1555 train_time:28866ms step_avg:40.66ms
step:711/1555 train_time:28923ms step_avg:40.68ms
step:712/1555 train_time:28982ms step_avg:40.71ms
step:713/1555 train_time:29040ms step_avg:40.73ms
step:714/1555 train_time:29099ms step_avg:40.76ms
step:715/1555 train_time:29158ms step_avg:40.78ms
step:716/1555 train_time:29220ms step_avg:40.81ms
step:717/1555 train_time:29281ms step_avg:40.84ms
step:718/1555 train_time:29337ms step_avg:40.86ms
step:719/1555 train_time:29399ms step_avg:40.89ms
step:720/1555 train_time:29455ms step_avg:40.91ms
step:721/1555 train_time:29520ms step_avg:40.94ms
step:722/1555 train_time:29574ms step_avg:40.96ms
step:723/1555 train_time:29635ms step_avg:40.99ms
step:724/1555 train_time:29694ms step_avg:41.01ms
step:725/1555 train_time:29755ms step_avg:41.04ms
step:726/1555 train_time:29812ms step_avg:41.06ms
step:727/1555 train_time:29870ms step_avg:41.09ms
step:728/1555 train_time:29931ms step_avg:41.11ms
step:729/1555 train_time:29990ms step_avg:41.14ms
step:730/1555 train_time:30049ms step_avg:41.16ms
step:731/1555 train_time:30107ms step_avg:41.19ms
step:732/1555 train_time:30166ms step_avg:41.21ms
step:733/1555 train_time:30225ms step_avg:41.24ms
step:734/1555 train_time:30281ms step_avg:41.26ms
